"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"16","AAT1","ProAla_vs_Ctrl",-0.0391951373662541,0.0536728919615906,-0.730259464951188,15,0.476483031810324,0.770287774666084,NA,0.145061728395062,0.145061728395062
"17","AAT1","ProSer_vs_Ctrl",0.0125054734091066,0.0536728919615906,0.232994216485591,15,0.818915363541283,0.887630804549463,NA,0.160493827160494,0.160493827160494
"18","AAT1","ArgSer_vs_Ctrl",-0.0148026133158462,0.0536728919615906,-0.275793101039521,15,0.78647022937393,0.909091474001211,NA,0.154320987654321,0.154320987654321
"19","AAT2","ProAla_vs_Ctrl",-0.115002080484833,0.0376481458384405,-3.05465456329088,15,0.0080268937340402,0.0923288557310575,NA,0.0776515151515151,0.0776515151515152
"20","AAT2","ProSer_vs_Ctrl",-0.126424474777011,0.0376481458384405,-3.35805315139651,15,0.00431348927964526,0.0175628610100483,NA,0.0852272727272727,0.0852272727272727
"21","AAT2","ArgSer_vs_Ctrl",-0.0873697524175536,0.0376481458384405,-2.32069204131548,15,0.0348024637464692,0.17748251512156,NA,0.0681818181818182,0.0681818181818182
"22","ABD1","ProAla_vs_Ctrl",-0.0483724209580269,0.0549724205413296,-0.87993980402699,15,0.392771654992764,0.705426145669331,NA,0.212121212121212,0.212121212121212
"23","ABD1","ProSer_vs_Ctrl",0.0668672057375943,0.0549724205413296,1.21637732301276,15,0.242636096974347,0.381921194670428,NA,0.215909090909091,0.215909090909091
"24","ABD1","ArgSer_vs_Ctrl",0.0937901359037312,0.0549724205413296,1.70613072846624,15,0.108596597302572,0.339077073985082,NA,0.166666666666667,0.166666666666667
"25","ABF1","ProAla_vs_Ctrl",0.00449702059067647,0.0816776500423764,0.0550581534647888,15,0.956818789566359,0.987172092533409,NA,0.162037037037037,0.162037037037037
"26","ABF1","ProSer_vs_Ctrl",-0.10421088241506,0.0816776500423764,-1.27588002790229,15,0.221401837317099,0.356950895216738,NA,0.150462962962963,0.150462962962963
"27","ABF1","ArgSer_vs_Ctrl",-0.0113642206717882,0.0816776500423764,-0.139135010200369,15,0.891194317680331,0.956215045327469,NA,0.178240740740741,0.178240740740741
"28","ABF2","ProAla_vs_Ctrl",0.0414811001265036,0.0517731018245077,0.801209482621105,15,0.435518848370282,0.742930624791284,NA,0.053030303030303,0.053030303030303
"29","ABF2","ProSer_vs_Ctrl",-0.0711263107451193,0.0517731018245077,-1.37380817912382,15,0.189684843568152,0.316074426835491,NA,0.0681818181818182,0.0681818181818182
"30","ABF2","ArgSer_vs_Ctrl",-0.00856957703130473,0.0517731018245077,-0.165521800496955,15,0.87074352043564,0.947194809060998,NA,0.0681818181818182,0.0681818181818182
"31","ABP1","ProAla_vs_Ctrl",0.00150166034131395,0.038223468367047,0.0392863443707938,15,0.969180213524154,0.990026995283892,NA,0.0833333333333334,0.0833333333333333
"32","ABP1","ProSer_vs_Ctrl",-0.00660639734860999,0.038223468367047,-0.172836156184755,15,0.865090778929463,0.917605319411681,NA,0.0897435897435898,0.0897435897435897
"33","ABP1","ArgSer_vs_Ctrl",-0.0829899424936353,0.038223468367047,-2.17117770937768,15,0.0463727604367354,0.208898666051363,NA,0.0705128205128205,0.0705128205128205
"34","ABP140","ProAla_vs_Ctrl",-0.00165986061216469,0.0688402227106832,-0.024111784459801,15,0.981081285573263,0.994204572055185,NA,0.0863095238095238,0.0863095238095238
"35","ABP140","ProSer_vs_Ctrl",-0.0702316152570053,0.0688402227106832,-1.02021191233169,15,0.323801475209274,0.467037041092172,NA,0.0892857142857143,0.0892857142857143
"36","ABP140","ArgSer_vs_Ctrl",-0.0977689771646387,0.0688402227106832,-1.42023040186165,15,0.175991668474132,0.439441489481758,NA,0.0952380952380952,0.0952380952380952
"37","ABZ1","ProAla_vs_Ctrl",-0.047747561733092,0.0803361487079944,-0.594347158794538,15,0.561138129546105,0.819133115040298,NA,0.176666666666667,0.176666666666667
"38","ABZ1","ProSer_vs_Ctrl",0.0944699939408006,0.0803361487079944,1.17593381634686,15,0.25794821309124,0.397796607051491,NA,0.15,0.15
"39","ABZ1","ArgSer_vs_Ctrl",0.10657330496264,0.0803361487079944,1.32659215902933,15,0.204487073456489,0.475090292218544,NA,0.153333333333333,0.153333333333333
"40","ABZ2","ProAla_vs_Ctrl",-0.0104135596658968,0.0633437948504278,-0.164397470825455,15,0.871613088619465,0.955885006238889,NA,0.166666666666667,0.166666666666667
"41","ABZ2","ProSer_vs_Ctrl",0.0138880161497733,0.0633437948504278,0.219248249691494,15,0.829412142734692,0.894807762484193,NA,0.182291666666667,0.182291666666667
"42","ABZ2","ArgSer_vs_Ctrl",-0.0173259011809866,0.0633437948504278,-0.273521679935625,15,0.788182512530387,0.909091474001211,NA,0.177083333333333,0.177083333333333
"43","ACB1","ProAla_vs_Ctrl",0.146249683593278,0.0660603180246875,2.21388101005845,15,0.0427469391750064,0.247963794771624,NA,0.0128205128205128,0.0128205128205128
"44","ACB1","ProSer_vs_Ctrl",0.23937576431104,0.0660603180246875,3.62359388311727,15,0.00250165981993167,0.0114947396292012,NA,0.0128205128205128,0.0128205128205128
"45","ACB1","ArgSer_vs_Ctrl",0.249091124736116,0.0660603180246875,3.77066190694128,15,0.00185102157829653,0.0257019790327586,NA,0,0
"46","ACC1","ProAla_vs_Ctrl",-0.0962662717973046,0.0417102983248588,-2.3079737058589,15,0.0356700511473194,0.221342054224682,NA,0.0777511961722488,0.0777511961722488
"47","ACC1","ProSer_vs_Ctrl",-0.241004840508263,0.0417102983248588,-5.77806561418495,15,3.64457838539778e-05,0.000369865922595529,NA,0.0841307814992025,0.0841307814992026
